duration,_type,ie_key,description,uploader,title,url,view_count,id
658,url,Youtube,,果籽,港人求生記｜移英港人自家製絲襪奶茶 倫敦開賣一個月超市上架 #籽想旅行─果籽 香港 Apple Daily─原刊日期：20210624,hxoO8-kc3Dk,,hxoO8-kc3Dk
319,url,Youtube,,果籽,腳底疣｜醫生教分辨腳底疣症狀 治療疣3大方法 泳池赤腳行高危 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210617,bHA0B4TGfcU,,bHA0B4TGfcU
587,url,Youtube,,果籽,非法貿易樞紐｜香港年殺2千隻瀕危動物 本地藝術家創AR壁畫籲關注 #動物蘋台─果籽 香港 Apple Daily─原刊日期：20210622,9jTVSYTcod4,,9jTVSYTcod4
601,url,Youtube,,果籽,腸胃｜新口服藥物助穩定潰瘍性結腸炎病情 大便長期稀爛未必有病 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210613,0osWTQ7Q7-g,,0osWTQ7Q7-g
399,url,Youtube,,果籽,台山疑洩核｜K Kwong解答6大核危機問題 核危機有幾嚴重 香港是否在安全範圍 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210619,hJNmrIBfGpA,,hJNmrIBfGpA
898,url,Youtube,,果籽,地獄腳車王｜Toyota Corolla僅夠代步上斜吃力 揸極唔壞翻新保留90s情懷 #CarMan─果籽 香港 Apple Daily─原刊日期：20210622,SgFFMLgPzKU,,SgFFMLgPzKU
1697,url,Youtube,,果籽,果籽畢業禮！各位讀者有緣再會 #專題─果籽 香港 Apple Daily─原刊日期：20210623,ZzWpRHN92Cc,,ZzWpRHN92Cc
656,url,Youtube,,果籽,濕疹｜OL嚴重濕疹甩皮腫脹 靠少開冷氣穿六層襪食薑排寒 3個月不藥而癒 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210622,Y7EbdWBn8Zc,,Y7EbdWBn8Zc
565,url,Youtube,,果籽,花式跳繩｜世界跳繩冠軍創app教高難度花式 記者實試半小時學識Lv1交叉跳繩 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210616,ejSlrh8DGrE,,ejSlrh8DGrE
622,url,Youtube,,果籽,濕疹｜子患蠶豆症兼嚴重濕疹 社工媽媽辭職研製手工皂成功改善皮膚 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210619,UF3KKxtNLFI,,UF3KKxtNLFI
234,url,Youtube,,果籽,iPhone必備｜香港人的iOS實用Widget 桌面直接顯示巴士港鐵實時到站時間 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210621,r4Jv2NKFkYA,,r4Jv2NKFkYA
524,url,Youtube,,果籽,居港法國情侶｜長洲相識拍拖留港工作 難忘玩命紅van最憎噪音：香港不是最後的家 #籽想好食─果籽 香港 Apple Daily─原刊日期：20210622,sShuDBs2cow,,sShuDBs2cow
222,url,Youtube,,果籽,消委會︱減醣飯煲功效成疑 實試一般飯煲加水效果相同 兩招助糖尿病患照常食飯 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210616,Ms7weqegyyU,,Ms7weqegyyU
491,url,Youtube,,果籽,電視大戰回顧｜TVB亞視節目鬥足40年 兩台同播包青天 百萬富翁成收視傳奇 #專題─果籽 香港 Apple Daily─原刊日期：20210617,XfVkSYYS_6Q,,XfVkSYYS_6Q
743,url,Youtube,,果籽,"長者電視台｜27歲女YouTube開銀髮台 月入僅$8,500只為逗長者一笑：唔想啲老人家等死 #專題─果籽 香港 Apple Daily─原刊日期：20210623",O62YSXGUOgI,,O62YSXGUOgI
394,url,Youtube,,果籽,嗅覺退化｜用花生醬自測腦退化柏金遜 無嗅覺飲食重口味屬症狀 #健康蘋台─果籽 香港 Apple Daily─原刊日期：20210617,fLdkKXAYnv4,,fLdkKXAYnv4
482,url,Youtube,,果籽,波衫修復｜舊球衣燙字龜裂剝落可修復 三招教大家分真假波衫 #GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210617,VFSjThivBvo,,VFSjThivBvo
812,url,Youtube,,果籽,香港品牌｜Hot Toys玩具 由小店造傘兵至Marvel星戰授權登業界頂峰 GadgetGuy─果籽 香港 Apple Daily─原刊日期：20210625,Xhe8_g77_V0,,Xhe8_g77_V0
515,url,Youtube,,果籽,老師情迷Skyline｜儲3部Skyline享受推背喉聲 不敢踩油入學校怕同事話飛仔車 #CarMan─果籽 香港 Apple Daily─原刊日期：20210624,3p53P0bBw8E,,3p53P0bBw8E
